AvgTurnTime,CompleteCityScore,CompleteMonasteryScore,CompleteRoadScore,Draw,FarmScore,FixtureSet,Game,IncompleteCityScore,IncompleteMonasteryScore,IncompleteRoadScore,Loss,MeepleFeatures,MeepleTurns,MeeplesPlayed,Opponent,OpponentScore,Player,PlayerScore,Result,Turns,Win
57.520000159740455,12,0,13,0,3,1,21,29,7,0,1,"['C', 'C', 'Monastery', 'R', 'G', 'R', 'G', 'R', 'C', 'R', 'C']","[1, 2, 5, 6, 7, 10, 11, 13, 14, 16, 23]",11,M_RAVE,82,GP_MCTS,64,2,36,0
16.844914230140482,10,0,6,0,0,1,22,11,32,5,1,"['C', 'Monastery', 'C', 'R', 'Monastery', 'Monastery', 'R', 'R', 'C', 'C', 'Monastery']","[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13]",11,GP_MCTS,70,M_RAVE,64,2,37,0
54.1112219625049,12,0,15,0,24,1,22,7,0,12,0,"['R', 'C', 'R', 'R', 'C', 'G', 'R', 'R', 'R', 'G', 'C', 'R', 'G', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 20, 22]",15,M_RAVE,64,GP_MCTS,70,1,36,1
18.14624605307708,16,0,24,0,15,1,23,17,7,2,1,"['C', 'Monastery', 'R', 'C', 'C', 'C', 'R', 'G', 'C', 'R', 'R', 'R', 'R', 'R', 'C', 'G']","[1, 2, 5, 6, 7, 8, 9, 13, 14, 15, 30, 31, 32, 34, 35, 36]",16,GP_MCTS,85,M_RAVE,81,2,37,0
62.60504167609744,4,9,6,0,24,1,23,14,23,5,0,"['C', 'R', 'G', 'Monastery', 'Monastery', 'Monastery', 'Monastery', 'C', 'G', 'R']","[1, 2, 4, 5, 6, 7, 8, 9, 23, 28]",10,M_RAVE,81,GP_MCTS,85,1,36,1
17.690577352369157,16,0,19,0,21,1,24,12,8,0,0,"['C', 'Monastery', 'R', 'R', 'C', 'C', 'G', 'C', 'G', 'C', 'R', 'R', 'C']","[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 24, 25, 31]",13,GP_MCTS,73,M_RAVE,76,1,37,1
60.85471300284068,22,9,8,0,3,1,24,25,0,6,1,"['G', 'C', 'C', 'R', 'R', 'G', 'Monastery', 'R', 'C', 'C', 'C', 'C', 'G']","[1, 2, 4, 6, 7, 8, 9, 10, 16, 28, 29, 32, 33]",13,M_RAVE,76,GP_MCTS,73,2,36,0
16.80083087328318,16,0,8,0,21,1,25,15,15,0,0,"['R', 'G', 'C', 'Monastery', 'C', 'Monastery', 'C', 'G', 'C', 'G']","[1, 2, 3, 4, 5, 6, 7, 24, 31, 32]",10,GP_MCTS,72,M_RAVE,75,1,37,1
58.70080767075221,14,0,7,0,27,1,25,12,7,5,1,"['Monastery', 'C', 'R', 'R', 'G', 'C', 'R', 'R', 'R', 'G', 'C', 'C']","[1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 23, 24]",12,M_RAVE,75,GP_MCTS,72,2,36,0
17.059680964495683,18,0,5,0,21,1,26,19,15,10,0,"['R', 'C', 'Monastery', 'R', 'Monastery', 'G', 'C', 'C', 'C', 'G']","[1, 2, 3, 4, 5, 6, 7, 25, 26, 27]",10,GP_MCTS,80,M_RAVE,88,1,37,1
